Year,Distance mile,Price,Distance km
1998,27,9991,43.45218
1997,17,9925,27.35878
1998,28,10491,45.06152
1998,5,10990,8.0467
1997,38,9493,61.15492
1997,36,9991,57.93624
1997,24,10490,38.62416
1997,37,9491,59.54558
1997,38,9491,61.15492
1997,30,9990,48.2802
1997,38,9491,61.15492
1997,25,9990,40.2335
1997,39,9990,62.76426
1997,22,9390,35.40548
1997,24,9990,38.62416
1997,37,9990,59.54558
1997,29,9990,46.67086
1997,70,8990,112.6538
1996,29,7990,46.67086
1995,72,5994,115.87248
1993,72,5994,115.87248
1994,61,5500,98.16974
1998,7,11000,11.26538
